Delivery_lead_time,Distance_from_supplier,Quantity,Confirmation_lead_time,Gross_weight,China,Korea,Container_20,Container_40,Total_containers,Container_ratio,Only_container_40,Delivery_date_lateness,Deli_date_lateness_late,Deli_lead_time_late,Confirm_late,Estimated_deli_time,Weekend_Count,Weekday_Count,Holiday_Count,Covid,Label
1,1791.94,56,0,49018.1496,1,0,0,2,2,0.0,1,1,1,1,0,9,3,7,0,0,1
2,3800.3,72,0,63023.3352,0,1,1,2,3,0.4999975,0,2,1,1,0,5,2,4,0,0,0
0,3800.3,212,0,185568.7092,0,1,1,7,8,0.142856939,0,0,0,0,0,7,2,6,0,0,1
1,1791.94,268,0,234586.8588,1,0,1,9,10,0.111110988,0,1,1,1,0,6,2,5,0,0,1
1,1791.94,44,0,38514.2604,1,0,1,1,2,0.99999,0,1,1,1,0,5,1,5,0,0,1
0,1791.94,28,0,24509.0748,1,0,0,1,1,0.0,1,0,0,0,0,8,2,7,0,0,1
-1,1791.94,128,2,112041.4848,1,0,1,4,5,0.249999375,0,1,1,0,1,7,2,6,1,0,0
0,3800.3,28,0,24509.0748,0,1,0,1,1,0.0,1,0,0,0,0,8,2,7,1,0,1
0,3800.3,124,0,108540.1884,0,1,6,1,7,5.999940001,0,0,0,0,0,9,3,7,0,0,1
0,1791.94,224,0,196072.5984,1,0,0,8,8,0.0,1,0,0,0,0,10,3,8,0,0,1
1,3800.3,180,0,157558.338,0,1,6,3,9,1.999993333,0,1,1,1,0,11,2,10,0,0,1
1,3800.3,252,0,220581.6732,0,1,0,9,9,0.0,1,1,1,1,0,12,4,9,0,1,1
0,3800.3,108,0,94535.0028,0,1,5,1,6,4.99995,0,0,0,0,0,10,3,8,0,1,1
1,3800.3,28,0,24509.0748,0,1,0,1,1,0.0,1,1,1,1,0,6,2,5,0,1,1
-1,3800.3,16,3,14005.1856,0,1,1,0,1,10.0,0,2,1,0,1,8,2,7,1,1,0
1,3800.3,256,0,224082.9696,0,1,16,0,16,10.0,0,1,1,1,0,5,2,4,0,0,1
0,3800.3,156,0,136550.5596,0,1,1,5,6,0.1999996,0,0,0,0,0,4,2,3,0,0,0
3,3800.3,28,0,24509.0748,0,1,0,1,1,0.0,1,3,1,1,0,3,2,2,0,0,1
0,3800.3,252,0,220581.6732,0,1,0,9,9,0.0,1,0,0,0,0,5,2,4,0,0,1
1,3800.3,28,0,24509.0748,0,1,0,1,1,0.0,1,1,1,1,0,4,1,4,0,0,1
0,3800.3,176,0,154057.0416,0,1,11,0,11,10.0,0,0,0,0,0,8,2,7,0,0,1
0,3800.3,112,0,98036.2992,0,1,0,4,4,0.0,1,0,0,0,0,11,4,8,0,0,1
0,3800.3,140,0,122545.374,0,1,7,1,8,6.999930001,0,0,0,0,0,9,2,8,0,0,1
1,3800.3,16,1,14005.1856,0,1,1,0,1,10.0,0,2,1,1,1,6,2,5,0,0,1
0,3800.3,28,0,24509.0748,0,1,0,1,1,0.0,1,0,0,0,0,4,2,3,0,0,0
1,1791.94,56,0,49018.1496,1,0,0,2,2,0.0,1,1,1,1,0,6,2,5,0,0,1
1,1791.94,252,0,220581.6732,1,0,0,9,9,0.0,1,1,1,1,0,6,2,5,0,0,1
0,1791.94,188,0,164560.9308,1,0,3,5,8,0.5999988,0,0,0,0,0,5,1,5,0,0,1
1,3800.3,124,0,108540.1884,0,1,6,1,7,5.999940001,0,1,1,1,0,8,3,6,0,0,1
0,1791.94,28,0,24509.0748,1,0,0,1,1,0.0,1,0,0,0,0,8,2,7,0,0,0
0,3800.3,16,1,14005.1856,0,1,1,0,1,10.0,0,1,1,0,1,3,2,2,0,0,0
2,3800.3,100,0,87532.41,0,1,1,3,4,0.333332222,0,2,1,1,0,4,0,5,1,0,1
1,3800.3,56,0,49018.1496,0,1,0,2,2,0.0,1,1,1,1,0,8,3,6,0,0,0
4,3800.3,368,0,322119.2688,0,1,2,12,14,0.166666528,0,4,1,1,0,6,2,5,0,0,1
2,3800.3,252,1,220581.6732,0,1,0,9,9,0.0,1,3,1,1,1,6,2,5,0,0,1
1,3800.3,28,0,24509.0748,0,1,0,1,1,0.0,1,1,1,1,0,3,0,4,0,0,1
1,3800.3,200,0,175064.82,0,1,9,2,11,4.4999775,0,1,1,1,0,3,1,3,0,0,1
1,3800.3,80,0,70025.928,0,1,5,0,5,10.0,0,1,1,1,0,11,4,8,0,0,1
0,1791.94,252,0,220581.6732,1,0,0,9,9,0.0,1,0,0,0,0,7,2,6,0,0,0
3,3800.3,264,0,231085.5624,0,1,6,6,12,0.999998333,0,3,1,1,0,9,3,7,0,0,1
3,3800.3,224,0,196072.5984,0,1,0,8,8,0.0,1,3,1,1,0,12,4,9,0,0,1
1,3800.3,56,1,49018.1496,0,1,0,2,2,0.0,1,2,1,1,1,7,2,6,0,0,1
0,3800.3,224,2,196072.5984,0,1,0,8,8,0.0,1,2,1,0,1,8,2,7,0,0,0
0,2845.8764366765386,21,0,18996.899913678237,0,0,0,0,1,5.2477466025838915,0,0,0,0,0,5,2,4,0,0,0
0,2595.0047811540508,240,0,210781.4507346301,0,0,0,8,8,0.0,1,0,0,0,0,7,2,6,0,0,0
0,3706.5785486283035,160,0,140471.92724672265,0,0,0,5,6,0.1906664860235422,0,0,0,0,0,4,2,3,0,0,0
0,3800.3,17,0,15291.641503603736,0,1,1,0,1,9.750677363382659,0,1,1,0,0,3,2,2,0,0,0
0,3332.811350733394,18,0,16450.189968815397,0,0,0,0,1,7.672286595696958,0,0,0,0,0,4,2,3,0,0,0
0,1973.910338858336,26,1,23557.354850860196,0,0,0,0,1,0.906064345328208,0,1,1,0,1,7,2,6,4,1,0
0,3800.3,16,1,14005.1856,0,1,1,0,1,10.0,0,1,1,0,1,4,2,3,0,0,0
0,2560.061364781319,23,0,20491.736420518355,0,0,0,0,1,3.8246199126716274,0,0,0,0,0,6,2,5,0,0,0
0,3800.3,157,0,137548.69146565,0,1,0,5,6,0.1966457838690033,0,0,0,0,0,4,2,3,0,0,0
0,2729.3679242835133,172,2,151264.09050678567,0,0,0,5,6,0.1333089434148133,0,1,1,0,1,7,2,6,0,0,0
0,2073.2300847270435,26,0,23037.904350961246,0,0,0,0,1,1.4005959326367936,0,0,0,0,0,8,2,7,0,0,0
1,3800.3,61,0,53495.501856998984,0,1,0,2,2,0.1598454314749566,0,1,1,1,0,7,2,5,0,0,0
1,3800.3,64,0,56714.00956350539,0,1,0,2,2,0.2747490002633584,0,1,1,1,0,6,2,4,0,0,0
0,3773.6591826049707,16,2,14144.519282265543,0,0,0,0,1,9.867350388401334,0,1,1,0,1,7,2,6,1,1,0
0,3684.220318047231,161,0,141407.41043392668,0,0,0,5,6,0.18843997425626827,0,0,0,0,0,4,2,3,0,0,0
0,1791.94,28,0,24509.0748,1,0,0,1,1,0.0,1,0,0,0,0,7,2,6,2,0,0
0,2565.9950870410657,38,0,33955.27668990519,0,0,0,1,1,0.0,1,0,0,0,0,8,2,6,0,0,0
0,3768.2340176910106,16,2,14172.893344260385,0,0,0,0,1,9.840337477797858,0,1,1,0,1,7,2,6,1,1,0
0,2255.6579236264993,229,0,201179.4079096066,0,0,0,8,8,0.04617867276689955,0,0,0,0,0,6,2,4,0,0,0
0,3800.3,18,2,16536.890389515593,0,1,0,0,1,7.589745339739883,0,1,0,0,0,7,2,6,0,0,0
0,3164.1791206682974,186,0,163166.27883084217,0,0,0,6,6,0.13665243045968412,0,0,0,0,0,4,2,3,0,0,0
0,3017.0328876243047,234,1,205631.21948665573,0,0,0,8,8,0.0,1,1,1,0,1,7,2,6,0,0,0
0,2126.944667065557,25,1,22756.972634880447,0,0,0,0,1,1.6680508826383562,0,1,1,0,1,7,2,6,4,1,0
0,3452.121364481131,18,1,15826.18871164203,0,0,0,0,1,8.266353464922279,0,1,1,0,1,3,2,2,0,0,0
0,3014.9095181742064,193,0,169411.81793947204,0,0,0,6,7,0.12178763490959488,0,0,0,0,0,5,2,3,0,0,0
0,2157.935669270033,25,0,22594.88712563272,0,0,0,0,1,1.8223608778806233,0,0,0,0,0,8,2,7,0,0,0
0,3308.9776420255607,230,1,202068.46389349116,0,0,0,8,8,0.0,1,1,1,0,1,7,2,6,0,0,0
0,3800.3,159,1,139505.9225537882,0,1,0,5,5,0.2125768743559361,0,2,1,0,0,6,2,5,0,0,0
0,3800.3,16,2,14005.1856,0,1,1,0,1,10.0,0,1,1,0,1,6,2,5,0,0,0
0,3800.3,21,0,18546.01345777513,0,1,0,0,1,5.677003278199915,0,0,0,0,0,3,2,2,0,0,0
1,3800.3,70,0,61817.32690038526,0,1,0,1,2,0.4843409320554518,0,1,0,0,0,4,2,3,0,0,0
0,3800.3,166,0,145938.09136590725,0,1,0,5,6,0.16845661800508988,0,0,0,0,0,4,2,3,0,0,0
0,3800.3,21,1,18729.35318415804,0,1,0,0,1,5.502458666302344,0,1,0,0,0,6,2,5,0,0,0
0,3006.696072023396,20,1,18155.79989631691,0,0,0,0,1,6.048497639981855,0,1,1,0,1,4,2,3,1,0,0
0,3800.3,53,0,46450.25910831894,0,1,0,1,1,0.7334113420620589,0,1,1,0,0,8,2,6,0,0,0
0,2339.676014401799,35,0,31193.38585360969,0,0,0,1,1,0.0,1,1,1,0,0,7,2,6,3,0,0
