Delivery_lead_time,Distance_from_supplier,Quantity,Confirmation_lead_time,Gross_weight,China,Korea,Container_20,Container_40,Total_containers,Container_ratio,Only_container_40,Delivery_date_lateness,Deli_date_lateness_late,Deli_lead_time_late,Confirm_late,Label
1,1791.94,252,0,220581.6732,1,0,0,9,9,0,1,1,1,1,0,1
0,1791.94,188,0,164560.9308,1,0,3,5,8,0.5999988,0,0,0,0,0,1
1,3800.3,124,0,108540.1884,0,1,6,1,7,5.999940001,0,1,1,1,0,1
0,1791.94,28,0,24509.0748,1,0,0,1,1,0,1,0,0,0,0,0
0,3800.3,16,1,14005.1856,0,1,1,0,1,10,0,1,1,0,1,0
2,3800.3,100,0,87532.41,0,1,1,3,4,0.333332222,0,2,1,1,0,1
1,3800.3,56,0,49018.1496,0,1,0,2,2,0,1,1,1,1,0,0
4,3800.3,368,0,322119.2688,0,1,2,12,14,0.166666528,0,4,1,1,0,1
2,3800.3,252,1,220581.6732,0,1,0,9,9,0,1,3,1,1,1,1
1,3800.3,28,0,24509.0748,0,1,0,1,1,0,1,1,1,1,0,1
1,3800.3,200,0,175064.82,0,1,9,2,11,4.4999775,0,1,1,1,0,1
1,3800.3,80,0,70025.928,0,1,5,0,5,10,0,1,1,1,0,1
0,1791.94,252,0,220581.6732,1,0,0,9,9,0,1,0,0,0,0,0
3,3800.3,264,0,231085.5624,0,1,6,6,12,0.999998333,0,3,1,1,0,1
3,3800.3,224,0,196072.5984,0,1,0,8,8,0,1,3,1,1,0,1
1,3800.3,56,1,49018.1496,0,1,0,2,2,0,1,2,1,1,1,1
0,3800.3,224,2,196072.5984,0,1,0,8,8,0,1,2,1,0,1,0
0,2845.876437,21,0,18996.89991,0,0,0,0,1,5.247746603,0,0,0,0,0,0
0,2595.004781,240,0,210781.4507,0,0,0,8,8,0,1,0,0,0,0,0
0,3706.578549,160,0,140471.9272,0,0,0,5,6,0.190666486,0,0,0,0,0,0
0,3800.3,17,0,15291.6415,0,1,1,0,1,9.750677363,0,1,1,0,0,0
0,3332.811351,18,0,16450.18997,0,0,0,0,1,7.672286596,0,0,0,0,0,0
0,1973.910339,26,1,23557.35485,0,0,0,0,1,0.906064345,0,1,1,0,1,0
0,3800.3,16,1,14005.1856,0,1,1,0,1,10,0,1,1,0,1,0
0,2560.061365,23,0,20491.73642,0,0,0,0,1,3.824619913,0,0,0,0,0,0
0,3800.3,157,0,137548.6915,0,1,0,5,6,0.196645784,0,0,0,0,0,0
0,2729.367924,172,2,151264.0905,0,0,0,5,6,0.133308943,0,1,1,0,1,0
0,2073.230085,26,0,23037.90435,0,0,0,0,1,1.400595933,0,0,0,0,0,0
1,3800.3,61,0,53495.50186,0,1,0,2,2,0.159845431,0,1,1,1,0,0
1,3800.3,64,0,56714.00956,0,1,0,2,2,0.274749,0,1,1,1,0,0
0,3773.659183,16,2,14144.51928,0,0,0,0,1,9.867350388,0,1,1,0,1,0
0,3684.220318,161,0,141407.4104,0,0,0,5,6,0.188439974,0,0,0,0,0,0
0,1791.94,28,0,24509.0748,1,0,0,1,1,0,1,0,0,0,0,0
0,2565.995087,38,0,33955.27669,0,0,0,1,1,0,1,0,0,0,0,0
0,3768.234018,16,2,14172.89334,0,0,0,0,1,9.840337478,0,1,1,0,1,0
0,2255.657924,229,0,201179.4079,0,0,0,8,8,0.046178673,0,0,0,0,0,0
0,3800.3,18,2,16536.89039,0,1,0,0,1,7.58974534,0,1,0,0,0,0
0,3164.179121,186,0,163166.2788,0,0,0,6,6,0.13665243,0,0,0,0,0,0
0,3017.032888,234,1,205631.2195,0,0,0,8,8,0,1,1,1,0,1,0
0,2126.944667,25,1,22756.97263,0,0,0,0,1,1.668050883,0,1,1,0,1,0
0,3452.121364,18,1,15826.18871,0,0,0,0,1,8.266353465,0,1,1,0,1,0
0,3014.909518,193,0,169411.8179,0,0,0,6,7,0.121787635,0,0,0,0,0,0
0,2157.935669,25,0,22594.88713,0,0,0,0,1,1.822360878,0,0,0,0,0,0
0,3308.977642,230,1,202068.4639,0,0,0,8,8,0,1,1,1,0,1,0
0,3800.3,159,1,139505.9226,0,1,0,5,5,0.212576874,0,2,1,0,0,0
0,3800.3,16,2,14005.1856,0,1,1,0,1,10,0,1,1,0,1,0
0,3800.3,21,0,18546.01346,0,1,0,0,1,5.677003278,0,0,0,0,0,0
1,3800.3,70,0,61817.3269,0,1,0,1,2,0.484340932,0,1,0,0,0,0
0,3800.3,166,0,145938.0914,0,1,0,5,6,0.168456618,0,0,0,0,0,0
0,3800.3,21,1,18729.35318,0,1,0,0,1,5.502458666,0,1,0,0,0,0
0,3006.696072,20,1,18155.7999,0,0,0,0,1,6.04849764,0,1,1,0,1,0
0,3800.3,53,0,46450.25911,0,1,0,1,1,0.733411342,0,1,1,0,0,0
0,2339.676014,35,0,31193.38585,0,0,0,1,1,0,1,1,1,0,0,0
